name	value	type	default	description	file	line
IGNITE_CACHE_RETRIES_COUNT	IGNITE_CACHE_RETRIES_COUNT	Long	"" + DFLT_THROTTLE_RECONNECT_RESET_TIMEOUT_INTERVAL	Time interval in milliseconds that indicates client reconnect throttle  must be reset to zero	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	765
IGNITE_THREAD_DUMP_ON_EXCHANGE_TIMEOUT	IGNITE_THREAD_DUMP_ON_EXCHANGE_TIMEOUT	Integer	"" + DFLT_CACHE_RETRIES_COUNT	Number of cache operation retries in case of topology exceptions	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	769
IGNITE_IO_DUMP_ON_TIMEOUT	IGNITE_IO_DUMP_ON_TIMEOUT	Integer	"" + DFLT_CACHE_RETRIES_COUNT	Number of cache operation retries in case of topology exceptions	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	773
IGNITE_DIAGNOSTIC_ENABLED	IGNITE_DIAGNOSTIC_ENABLED		"" + DFLT_DIAGNOSTIC_ENABLED	Enables diagnostic flag	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	777
IGNITE_LONG_OPERATIONS_DUMP_TIMEOUT	IGNITE_LONG_OPERATIONS_DUMP_TIMEOUT		"" + DFLT_DIAGNOSTIC_ENABLED	Enables diagnostic flag	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	782
IGNITE_LONG_OPERATIONS_DUMP_TIMEOUT_LIMIT	IGNITE_LONG_OPERATIONS_DUMP_TIMEOUT_LIMIT		"" + DFLT_DIAGNOSTIC_ENABLED	Enables diagnostic flag	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	787
IGNITE_JDBC_DRIVER_CURSOR_REMOVE_DELAY	IGNITE_JDBC_DRIVER_CURSOR_RMV_DELAY	Long	"" + DFLT_LONG_OPERATIONS_DUMP_TIMEOUT_LIMIT	Upper time limit between long running/hanging operations debug dumps  in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	792
IGNITE_LONG_LONG_HASH_MAP_LOAD_FACTOR	IGNITE_LONG_LONG_HASH_MAP_LOAD_FACTOR	Long	"10 minutes"	JDBC driver cursor remove delay in milliseconds	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	797
IGNITE_MAX_NESTED_LISTENER_CALLS	IGNITE_MAX_NESTED_LISTENER_CALLS	Float	"" + DFLT_LONG_LONG_HASH_MAP_LOAD_FACTOR	Long-long offheap map load factor	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	802
IGNITE_LOCAL_STORE_KEEPS_PRIMARY_ONLY	IGNITE_LOCAL_STORE_KEEPS_PRIMARY_ONLY	Float	"" + DFLT_LONG_LONG_HASH_MAP_LOAD_FACTOR	Long-long offheap map load factor	modules/core/src/main/java/org/apache/ignite/IgniteSystemProperties.java	806
